epoch,expert,n,mae,mse,r2,lr,train_loss
1,1,2047,0.05722726136445999,0.012997979298233986,-2.7977545261383057,0.0016875946494005715,27.015586841731302
1,2,652,0.339548259973526,0.16651202738285065,-9.321320533752441,0.0016875946494005715,27.015586841731302
1,3,745,0.2994658052921295,0.141244038939476,-0.16232001781463623,0.0016875946494005715,27.015586841731302
1,4,505,0.20348185300827026,0.09554357826709747,-0.7377934455871582,0.0016875946494005715,27.015586841731302
1,hard_routed_overall,3949,0.16824260354042053,0.0730942040681839,0.5066475868225098,0.0016875946494005715,27.015586841731302
2,1,2047,0.04249940067529678,0.007319414522498846,-1.1385893821716309,0.0016875946494005715,0.04006274716906069
2,2,652,0.007132721599191427,7.631917833350599e-05,0.9952692985534668,0.0016875946494005715,0.04006274716906069
2,3,745,0.02604205720126629,0.0010919958585873246,0.991013765335083,0.0016875946494005715,0.04006274716906069
2,4,505,0.048003584146499634,0.00391351105645299,0.9288191199302673,0.0016875946494005715,0.04006274716906069
2,hard_routed_overall,3949,0.03425929695367813,0.004513157997280359,0.9695382714271545,0.0016875946494005715,0.04006274716906069
3,1,2047,0.07091348618268967,0.014465129934251308,-3.2264270782470703,0.0016875946494005715,0.00593367384041607
3,2,652,0.011902296915650368,0.00020375994790811092,0.9873698353767395,0.0016875946494005715,0.00593367384041607
3,3,745,0.02429598569869995,0.0008648954099044204,0.9928826093673706,0.0016875946494005715,0.00593367384041607
3,4,505,0.018129568547010422,0.0008982369326986372,0.9836624264717102,0.0016875946494005715,0.00593367384041607
3,hard_routed_overall,3949,0.04562576860189438,0.007809807080775499,0.947287380695343,0.0016875946494005715,0.00593367384041607
4,1,2047,0.044424254447221756,0.002269070828333497,0.337022066116333,0.0016875946494005715,0.008227259687696314
4,2,652,0.0044641378335654736,3.1369487260235474e-05,0.9980555772781372,0.0016875946494005715,0.008227259687696314
4,3,745,0.052395910024642944,0.003949277568608522,0.9675007462501526,0.0016875946494005715,0.008227259687696314
4,4,505,0.026418020948767662,0.002077750861644745,0.9622088670730591,0.0016875946494005715,0.008227259687696314
4,hard_routed_overall,3949,0.037027884274721146,0.0021921286825090647,0.9852041602134705,0.0016875946494005715,0.008227259687696314
5,1,2047,0.023995613679289818,0.0007133325561881065,0.7915782332420349,0.0016875946494005715,0.0011906808454847533
5,2,652,0.0057229166850447655,4.78656220366247e-05,0.9970329999923706,0.0016875946494005715,0.0011906808454847533
5,3,745,0.013152320869266987,0.0003705856797751039,0.9969503879547119,0.0016875946494005715,0.0011906808454847533
5,4,505,0.05050250515341759,0.004696690011769533,0.9145743250846863,0.0016875946494005715,0.0011906808454847533
5,hard_routed_overall,3949,0.022322768345475197,0.0010481930803507566,0.9929251670837402,0.0016875946494005715,0.0011906808454847533
6,1,2047,0.01784873753786087,0.0004966985434293747,0.8548744320869446,0.0016875946494005715,0.002282881882556173
6,2,652,0.0061697508208453655,8.211573731387034e-05,0.9949100017547607,0.0016875946494005715,0.002282881882556173
6,3,745,0.030117101967334747,0.0016406194772571325,0.9864990711212158,0.0016875946494005715,0.002282881882556173
6,4,505,0.028554672375321388,0.0010967279085889459,0.9800521731376648,0.0016875946494005715,0.002282881882556173
6,hard_routed_overall,3949,0.019604049623012543,0.0007207876769825816,0.9951350092887878,0.0016875946494005715,0.002282881882556173
7,1,2047,0.015741949900984764,0.00048041180707514286,0.8596330881118774,0.0016875946494005715,0.0016860514250208413
7,2,652,0.0051000118255615234,4.54483088105917e-05,0.9971828460693359,0.0016875946494005715,0.0016860514250208413
7,3,745,0.025829320773482323,0.000848545110784471,0.9930171966552734,0.0016875946494005715,0.0016860514250208413
7,4,505,0.02643827348947525,0.001081750262528658,0.9803246259689331,0.0016875946494005715,0.0016860514250208413
7,hard_routed_overall,3949,0.01725580170750618,0.0005549468914978206,0.9962543845176697,0.0016875946494005715,0.0016860514250208413
8,1,2047,0.020456094294786453,0.0012155375443398952,0.6448437571525574,0.0016875946494005715,0.002018828941800166
8,2,652,0.01562316995114088,0.0003956408181693405,0.9754760265350342,0.0016875946494005715,0.002018828941800166
8,3,745,0.049149636179208755,0.0044899871572852135,0.9630511999130249,0.0016875946494005715,0.002018828941800166
8,4,505,0.02322915382683277,0.001187533256597817,0.9784005880355835,0.0016875946494005715,0.002018828941800166
8,hard_routed_overall,3949,0.02542596496641636,0.0016943297814577818,0.9885640740394592,0.0016875946494005715,0.002018828941800166
9,1,2047,0.01786351390182972,0.0003608945698942989,0.8945536613464355,0.0016875946494005715,0.2095197113869231
9,2,652,0.0046110874973237514,3.5775181459030136e-05,0.9977824687957764,0.0016875946494005715,0.2095197113869231
9,3,745,0.028426770120859146,0.00113083072938025,0.9906942248344421,0.0016875946494005715,0.2095197113869231
9,4,505,0.11623029410839081,0.04070192202925682,0.25969356298446655,0.0016875946494005715,0.2095197113869231
9,hard_routed_overall,3949,0.03024747595191002,0.005611298140138388,0.9621263146400452,0.0016875946494005715,0.2095197113869231
10,1,2047,0.012968070805072784,0.00048111352953128517,0.8594280481338501,0.0016875946494005715,0.0012872089615895324
10,2,652,0.007097307126969099,9.75250150077045e-05,0.9939548969268799,0.0016875946494005715,0.0012872089615895324
10,3,745,0.012137552723288536,0.00035238696727901697,0.9971001744270325,0.0016875946494005715,0.0012872089615895324
10,4,505,0.017109865322709084,0.0005966463941149414,0.9891479015350342,0.0016875946494005715,0.0012872089615895324
10,hard_routed_overall,3949,0.012371751479804516,0.0004082705418113619,0.9972443580627441,0.0016875946494005715,0.0012872089615895324
11,1,2047,0.020119646564126015,0.0005483526038005948,0.8397821187973022,0.0016875946494005715,0.0011077932812763574
11,2,652,0.006256870925426483,7.245928281918168e-05,0.9955085515975952,0.0016875946494005715,0.0011077932812763574
11,3,745,0.02172917313873768,0.0006899801664985716,0.9943220615386963,0.0016875946494005715,0.0011077932812763574
11,4,505,0.016131889075040817,0.00043455781997181475,0.9920960664749146,0.0016875946494005715,0.0011077932812763574
11,hard_routed_overall,3949,0.017624521628022194,0.00048194691771641374,0.9967470765113831,0.0016875946494005715,0.0011077932812763574
12,1,2047,0.7010093331336975,0.9513230919837952,-276.95794677734375,0.0016875946494005715,0.060471274898337736
12,2,652,0.0059903389774262905,7.33287597540766e-05,0.9954546689987183,0.0016875946494005715,0.060471274898337736
12,3,745,0.015605814754962921,0.0003733618068508804,0.9969275593757629,0.0016875946494005715,0.060471274898337736
12,4,505,0.023221159353852272,0.0007780281011946499,0.9858488440513611,0.0016875946494005715,0.060471274898337736
12,hard_routed_overall,3949,0.3702772259712219,0.49330899119377136,-2.3296093940734863,0.0016875946494005715,0.060471274898337736
13,1,2047,0.0346573069691658,0.001938065979629755,0.4337351322174072,0.0016875946494005715,0.25922794874303134
13,2,652,0.010190925560891628,0.00015316379722207785,0.9905060529708862,0.0016875946494005715,0.25922794874303134
13,3,745,0.9704092741012573,1.3742904663085938,-10.309258460998535,0.0016875946494005715,0.25922794874303134
13,4,505,0.015563257038593292,0.0005375044420361519,0.9902235865592957,0.0016875946494005715,0.25922794874303134
13,hard_routed_overall,3949,0.20471064746379852,0.26036587357521057,-0.7573502063751221,0.0016875946494005715,0.25922794874303134
14,1,2047,0.021883422508835793,0.0022113448940217495,0.35388845205307007,0.0016875946494005715,0.22957283121837874
14,2,652,0.005090896971523762,4.953027018927969e-05,0.9969298243522644,0.0016875946494005715,0.22957283121837874
14,3,745,0.029324417933821678,0.0013238361570984125,0.9891059398651123,0.0016875946494005715,0.22957283121837874
14,4,505,0.013134901411831379,0.0002960414858534932,0.9946154356002808,0.0016875946494005715,0.22957283121837874
14,hard_routed_overall,3949,0.01939590834081173,0.001442055101506412,0.9902667999267578,0.0016875946494005715,0.22957283121837874
15,1,2047,0.013019810430705547,0.00027433453942649066,0.9198448657989502,0.0016875946494005715,0.0010195897259343896
